,name,description
230,"Pluto Money
",Money management app for the Snapchat generation
231,"Startwise Inc
",Investing made simple
232,"Summed
",Your virtual financial planner
233,"Tigerlytics
",Simple Analytics for Stripe
234,"Jellyfish
",Budget management for project teams
235,"ICObazaar
","Easily discover & get cryptotokens from coming, current, and past campaigns"
236,"1787fp Mobile App
",Powerful financial tools that fit in your that fit in your pocket
237,"Blockchain Dev Jobs
",Jobs from around the web for engineers who specialize in blockchain tech
238,"f0lio
",A beautiful cryptocurrency portfolio application
239,"EXPENSE TRACKER
",Your Personal Finance Software
240,"PesaBot
",Create chatbots that accepts and process payments
241,"Peristocks
",Analyze stocks in one glance
242,"Status Money
",The PFM website that lets you anonymously compare your finances
243,"Spence
",A mobile payment application that enables cashless payments at smaller businesses
244,"ZILLA
",Amazon for ICOs
245,"CryptoPanic
",Cryptocurrency news aggregator focused on news impact on market
246,"CoinHub
",Beautiful real-time cryptocurrency quotes for iOS
247,"finpin
",Optimise Lifetime Financial Decisions
248,"Payolee
",Recurring Payments for Subscription Businesses
249,"Astra
",Intelligence for your financial life
250,"Village
",Let friends and family gift towards experiences for your children
251,"Forex API
",Reliable Foreign Exchange & Currency API For Developers
252,"Decipher
",Decipher Orchestrates All Your Investments
253,"Cablegram
",A financial news platform that pays contributors in bitcoin & gold
254,"Token Payments
",Protect your credit card information from payment fraud
255,"Coindex
","Cryptocurrency price tracker on iOS - Bitcoin, Litecoin, Ethereum & more"
256,"VoPay
",Trade your currency directly with other users - no banks needed
257,"Karus
",Proactive auto insurance monitoring
258,"Combine
",Keep track of your finances across countries
259,"Looma
",Save money when you spend
260,"Combine
",Keep track of your finances across countries
261,"Looma
",Save money when you spend
262,"Budcet
",Cloud Based Budget Management Tool
263,"startwise
",Revenue sharing investment platform
264,"Receipt Bot
","Receipt bot, accounting & bookkeeping robot is here"
265,"deb
",Online platform giving consumers complete control over delinquent debt
266,"Pennybox
",Teach kids money
267,"WalletFi
","Bounce back from a lost, stolen, or reissued bank card"
268,"Feral Horses
",Acquire and trade shares of contemporary artworks
269,"Clerk.AI
",Let bots do your digital paper work
270,"Jellifin
",Unlimited options trading made simple
271,"Sift
",Automatic refunds from hidden credit card benefits
272,"Ellipses
",Get approved for lending without a credit score
273,"Smart Bill
",Saves you money by cancelling subscriptions you forgot about
274,"Kidfund
",Turn sharing into savings for your child
275,"SlickAccount
",Money management software for small businesses
276,"BitHodl
",A bitcoin wallet that locks your funds for a certain time period
277,"Reservar
",Save money in a revolutionary way
278,"Yolt
",Know where you're at with your money
279,"Ernest
",The AI chatbot for your personal finances.
280,"Yolt
",Know where you're at with your money
281,"Ernest
",The AI chatbot for your personal finances.
282,"Billter
","Gather, pay or cancel bills just by signing in with gmail"
283,"Mulalo
",The worlds smartest savings account
284,"AREX
",Trading platform where SMBs instantly turn their unpaid invoices into cash
285,"KINFO
",See how professional investors succeed
286,"Proof
","Create & manage company shares, loans, cash and inventory on any blockchain"
287,"Hufsy
","Get an overview of financial health, accept and make payments, report taxes"
288,"Lemon
",A credit card and companion app designed to improve your credit score
289,"Clerkie
",An assistant for personal finances
290,"Bankity
",Predict your finances and get real-time reports of your expenses
291,"DashFlow
",Modern money manager with flexible goals dashboard and private bank sync
292,"Boon Investments
",The easiest way to invest in the U.S. financial markets
293,"ExpenseTron
",Fustration free expense reporting in Slack
294,"Squeeze
","A seamless way to track finances, reduce bills, and save money"
295,"Annie
",Invoicing assistant you can chat with
296,"Clarity Money
",Beautifully clear insights into your finances
297,"Frank
",Lend and borrow money directly between friends and family
298,"OneFaceIn
",Use your face & voice instead of passwords
299,"Milo
",Round up your everyday purchases and easily start saving
300,"CLEAR
",AI + Credit Card for small businesses
301,"Kard
",Credit card rewards made simple
302,"Mylo
",Round up everyday purchases and invests the spare change in you
303,"Paper
",A legal dashboard for your startup
304,"CHDR Financial
",Fintech application focused on building financial stability for millennials
305,"TrackWealth
","All your finances in one place simple, secure, and intelligent"
306,"AMZengine
",Automatic Amazon to Xero syncing for FBA business
307,"Reeelit
",Fashion shopping made smart
308,"WeVest
",Helps you take control of your financial future and grow your net worth
309,"Coinetize
",Get paid instantly for your website content
310,"Inzite
",An online video and telephone advice platform for business professionals
311,"Pleo
",A company payment card that does your expense reports
312,"Debitize
",Use your credit card like a debit card
313,"CircleBi
",Data analytics automation for Quickbooks
314,"CommonCents
",Save thousands on your student loans with spare change
315,"Neat
",Mobile current account and budgeting app
316,"Insurify Evia
",Text a pic of your license plate and compare instant car insurance quotes
317,"XOBI
",The world's first financial Virtual Assistant
318,"Spendwell
",A Fibit for your money
319,"Meer
",Replicate trades experts have made to increase your success in stocks
320,"CircleBi
",Data analytics automation for Quickbooks
321,"CommonCents
",Save thousands on your student loans with spare change
322,"Neat
",Mobile current account and budgeting app
323,"Insurify Evia
",Text a pic of your license plate and compare instant car insurance quotes
324,"XOBI
",The world's first financial Virtual Assistant
325,"Spendwell
",A Fibit for your money
326,"Meer
",Replicate trades experts have made to increase your success in stocks
327,"Grain
",Invest in what you know with who you know
328,"Telegram Wallet
",Send and receive bitcoins privately for free to your contacts on Telegram
329,"Folio
",Create intelligent and social saving projects
330,"Drops
",Donate spare change from credit card purchases to charity
331,"fintechfolk
",The invitation-only slack channel for fintech professionals
332,"WealRo
",AI saving & investment app
333,"Pefin
",World's first Artificial Intelligence (AI) financial advisor
334,"Albert
","Simple, actionable financial advice on your phone"
335,"Pitch Data
",Data driven startup marketplace
336,"Netcoins
",An easy way to buy Bitcoins
337,"Peeptrade
","See how top traders invest their own money, in real time"
338,"OhMyGeorge!
",Forex & stock trading game for finance newbies
339,"altflo
",A digital engine for alternative asset and investment management
340,"WealthNation
",Digital piggy bank that allows you to save small amounts of money often
341,"DIY.FUND
",Free portfolio management software for the individual investor
342,"Neomy
",Tells you when is the best time to send money abroad
343,"Traders Dashboard
",Analytics dashboard for day traders
344,"Pluto
","Reach your saving goals through personalized, bite-sized challenges"
345,"eWise
","All your financial accounts in one dashboard, privately and securely"
346,"Divvy
","Set goals, save money, do great things"
347,"Bimax
",Google Analytics for startup's cashflow
348,"InvoiceOwl
",Send beautiful custom invoices effortlessly
349,"inBudget
",Personal finance and budgeting planner like it should be
350,"Tellur
",Monitor financial accounts with custom notifications
351,"Altruist
",Automatically donate change from each purchase to your favorite nonprofits
352,"soundpays
",A universal mobile wallet app that uses sound waves
353,"Capyx
",Beautiful & accurate cap table management
354,"PassFort
",PassFort is a turnkey KYC compliance solution for regulated businesses
355,"Angeloop
",Social & business intelligence for startups & investors
356,"ChargeLoop
",Send online invoices to improve cashflow and get paid quicker
357,"Xinch
",Manage your company’s online expenses from one place
358,"Gathering
",Beautifully simple saving
359,"Expns
",The simplest expense tracker
360,"Monk
",Build financial security with your social circles
361,"Melon
",Find the right financial accounts to make the most of your money
362,"AcceptOn
",Bringing Stripe & PayPal together without needing custom code
363,"One Month Options
",Learn to trade options in 30 days
364,"Persollo
",Create a payment form in a click
365,"Xente
",International cash to goods service
366,"Capp.io
",Researching stocks made intuitive and easy
367,"ClearScore
","We'll make your credit score and report clear and free, forever"
368,"Money Clouds
","Save intentionally, live intentionally"
369,"Saverize
",Manage your recurring payments for services across the web
370,"CubbySpot
",Find the best daycare for your child
371,"UNLOQ
","Strong security as it should be, simple & free"
372,"reportin
","Create financial reports better, together"
373,"Budgie
",Your simple daily budget
374,"Darwinex
",Find undiscovered trading talent and share in their success
375,"Investor Sheet
",We take the pain out of investor relations
376,"Growbacon
",Virtual investment bank app that teaches kids financial responsibility
377,"Schooold
",Private financial advisors for teens
378,"NewsHedge
",Automated squawk service that informs you of notable trading events
379,"NachoBirthday
",Use the day you were born to make a difference
380,"Wherewithal
",Cash-back savings meets online investing
381,"SNAPCARD Wallet
",A multi-currency digital currency wallet
382,"backrecord
",Holding the financial commentators accountable
383,"PocketGuard
",Get smart about your money
384,"zensplit
",Making amazing things happen
385,"LastRoom
",The smartest travel booking solution for SMBs
386,"TipdOff
",Democratizing the trading community
387,"TruValue
",The fastest business news experience putting you in the conversation
388,"Bee Invested
",Invest online in Swiss innovation
389,"Andinero
","A new, simple digital money based on real assets"
390,"Nvestly
","Simple, secure investment sharing with your friends. #invites"
391,"Satispay
",Independent and inexpensive payment system that makes money exchange easy.
392,"API Ratings
",The bridge between API providers and developers
393,"FLYR
",Instant Mobile Flight Booking App
394,"Breeze
",E-ZPass for Gas
395,"Cryptiv
",Blockchain-Asset Management Systems for Financial Services
396,"ExpenseBot
",Really easy expense reports.
397,"The Wallaby Card
",One Card To Rule Them All - carry one card but have access to all.
398,"bsavi
",Know your daily available-cash to spend after all your bills have been paid
399,"Thriftr
",Budgeting after your money is gone doesn't work. Know before you buy.
400,"MergePay
",Automatically Track and Manage your Businesses Finances
401,"MoneyApp.me
",Track & see the important numbers in your personal finances.
402,"Neur
",Interaction between businesses and potential acquirers.
403,"INISMO
",Interactive corporate funding platform for angel investors
404,"Dryrun
",A better way to forecast your cash flow and compare your options (invites!)
405,"Guide Financial
",Manage your paycheck easily and save money
406,"MerchAdvisor
","Find, compare, & save on credit card processing."
407,"QuotedFor
","Online on-demand quotation tool, anywhere at any device"
408,"Sharewave
",Feed your investors
409,"EquaMetrics
",Easily build complex trading algorithms
410,"Market Correlation
","Providing investors with a powerful, cloud based, tool to measure and interpret financial correlations"
411,"Blueleaf
",Financial goals made controllable
